ano;nomeCurso;evasao
2008;Ensino Fundamental 2º Ano;-549290
2008;Ensino Fundamental 3º Ano;-68871
2008;Ensino Fundamental 4º Ano;75810
2008;Ensino Fundamental 5º Ano;-53439
2008;Ensino Fundamental 6º Ano;-71175
2008;Ensino Fundamental 7º Ano;106696
2008;Ensino Fundamental 8º Ano;84570
2008;Ensino Fundamental 9º Ano;-4986
2008;Ensino Médio - 1ª Série;-58826
2008;Ensino Médio - 2ª Série;280980
2008;Ensino Médio - 3ª Série;159870
2009;Ensino Fundamental 2º Ano;-462836
2009;Ensino Fundamental 3º Ano;-52464
2009;Ensino Fundamental 4º Ano;75332
2009;Ensino Fundamental 5º Ano;-32626
2009;Ensino Fundamental 6º Ano;-86116
2009;Ensino Fundamental 7º Ano;139702
2009;Ensino Fundamental 8º Ano;69840
2009;Ensino Fundamental 9º Ano;43261
2009;Ensino Médio - 1ª Série;-24969
2009;Ensino Médio - 2ª Série;308149
2009;Ensino Médio - 3ª Série;180062
2010;Ensino Fundamental 2º Ano;-147219
2010;Ensino Fundamental 3º Ano;-56999
2010;Ensino Fundamental 4º Ano;65092
2010;Ensino Fundamental 5º Ano;-22162
2010;Ensino Fundamental 6º Ano;-92430
2010;Ensino Fundamental 7º Ano;142080
2010;Ensino Fundamental 8º Ano;40371
2010;Ensino Fundamental 9º Ano;69057
2010;Ensino Médio - 1ª Série;-78901
2010;Ensino Médio - 2ª Série;294643
2010;Ensino Médio - 3ª Série;155553
2011;Ensino Fundamental 2º Ano;-73732
2011;Ensino Fundamental 3º Ano;-66357
2011;Ensino Fundamental 4º Ano;51916
2011;Ensino Fundamental 5º Ano;-23916
2011;Ensino Fundamental 6º Ano;-88940
2011;Ensino Fundamental 7º Ano;105659
2011;Ensino Fundamental 8º Ano;52278
2011;Ensino Fundamental 9º Ano;85335
2011;Ensino Médio - 1ª Série;-89212
2011;Ensino Médio - 2ª Série;319192
2011;Ensino Médio - 3ª Série;164512
2012;Ensino Fundamental 2º Ano;-35763
2012;Ensino Fundamental 3º Ano;-57833
2012;Ensino Fundamental 4º Ano;42521
2012;Ensino Fundamental 5º Ano;-18019
2012;Ensino Fundamental 6º Ano;-88774
2012;Ensino Fundamental 7º Ano;95598
2012;Ensino Fundamental 8º Ano;66088
2012;Ensino Fundamental 9º Ano;77348
2012;Ensino Médio - 1ª Série;-82991
2012;Ensino Médio - 2ª Série;319183
2012;Ensino Médio - 3ª Série;178938
2013;Ensino Fundamental 2º Ano;-27297
2013;Ensino Fundamental 3º Ano;-61856
2013;Ensino Fundamental 4º Ano;40907
2013;Ensino Fundamental 5º Ano;-9063
2013;Ensino Fundamental 6º Ano;-75675
2013;Ensino Fundamental 7º Ano;79245
2013;Ensino Fundamental 8º Ano;63835
2013;Ensino Fundamental 9º Ano;69527
2013;Ensino Médio - 1ª Série;-62204
2013;Ensino Médio - 2ª Série;297500
2013;Ensino Médio - 3ª Série;175745
2014;Ensino Fundamental 2º Ano;-13493
2014;Ensino Fundamental 3º Ano;-57237
2014;Ensino Fundamental 4º Ano;38672
2014;Ensino Fundamental 5º Ano;6478
2014;Ensino Fundamental 6º Ano;-65797
2014;Ensino Fundamental 7º Ano;50696
2014;Ensino Fundamental 8º Ano;75599
2014;Ensino Fundamental 9º Ano;54618
2014;Ensino Médio - 1ª Série;-38462
2014;Ensino Médio - 2ª Série;270185
2014;Ensino Médio - 3ª Série;161855
