ano;nomeCurso;evasao;
2008;Ensino Fundamental 2º Ano;-119348;
2008;Ensino Fundamental 3º Ano;8598;
2008;Ensino Fundamental 4º Ano;29236;
2008;Ensino Fundamental 5º Ano;5989;
2008;Ensino Fundamental 6º Ano;-61310;
2008;Ensino Fundamental 7º Ano;45795;
2008;Ensino Fundamental 8º Ano;55305;
2008;Ensino Fundamental 9º Ano;48525;
2008;Ensino Médio - 1ª Série;-37961;
2008;Ensino Médio - 2ª Série;123697;
2008;Ensino Médio - 3ª Série;52490;
2009;Ensino Fundamental 2º Ano;-56745;
2009;Ensino Fundamental 3º Ano;-4645;
2009;Ensino Fundamental 4º Ano;13877;
2009;Ensino Fundamental 5º Ano;2802;
2009;Ensino Fundamental 6º Ano;-66333;
2009;Ensino Fundamental 7º Ano;35480;
2009;Ensino Fundamental 8º Ano;49228;
2009;Ensino Fundamental 9º Ano;50092;
2009;Ensino Médio - 1ª Série;-28191;
2009;Ensino Médio - 2ª Série;122721;
2009;Ensino Médio - 3ª Série;54080;
2010;Ensino Fundamental 2º Ano;-54706;
2010;Ensino Fundamental 3º Ano;10909;
2010;Ensino Fundamental 4º Ano;3578;
2010;Ensino Fundamental 5º Ano;6622;
2010;Ensino Fundamental 6º Ano;-59143;
2010;Ensino Fundamental 7º Ano;36458;
2010;Ensino Fundamental 8º Ano;50809;
2010;Ensino Fundamental 9º Ano;51945;
2010;Ensino Médio - 1ª Série;-18951;
2010;Ensino Médio - 2ª Série;122112;
2010;Ensino Médio - 3ª Série;54441;
2011;Ensino Fundamental 2º Ano;-47273;
2011;Ensino Fundamental 3º Ano;7582;
2011;Ensino Fundamental 4º Ano;15060;
2011;Ensino Fundamental 5º Ano;-3704;
2011;Ensino Fundamental 6º Ano;-45082;
2011;Ensino Fundamental 7º Ano;25022;
2011;Ensino Fundamental 8º Ano;50677;
2011;Ensino Fundamental 9º Ano;53264;
2011;Ensino Médio - 1ª Série;-15854;
2011;Ensino Médio - 2ª Série;121375;
2011;Ensino Médio - 3ª Série;56954;
2012;Ensino Fundamental 2º Ano;-35598;
2012;Ensino Fundamental 3º Ano;-2592;
2012;Ensino Fundamental 4º Ano;15774;
2012;Ensino Fundamental 5º Ano;510;
2012;Ensino Fundamental 6º Ano;-45531;
2012;Ensino Fundamental 7º Ano;25091;
2012;Ensino Fundamental 8º Ano;56552;
2012;Ensino Fundamental 9º Ano;30269;
2012;Ensino Médio - 1ª Série;-22019;
2012;Ensino Médio - 2ª Série;115185;
2012;Ensino Médio - 3ª Série;54600;
2013;Ensino Fundamental 2º Ano;-18390;
2013;Ensino Fundamental 3º Ano;-21789;
2013;Ensino Fundamental 4º Ano;18898;
2013;Ensino Fundamental 5º Ano;3244;
2013;Ensino Fundamental 6º Ano;-44421;
2013;Ensino Fundamental 7º Ano;21680;
2013;Ensino Fundamental 8º Ano;40746;
2013;Ensino Fundamental 9º Ano;42950;
2013;Ensino Médio - 1ª Série;-11828;
2013;Ensino Médio - 2ª Série;108809;
2013;Ensino Médio - 3ª Série;54963;
2014;Ensino Fundamental 2º Ano;-14401;
2014;Ensino Fundamental 3º Ano;-30819;
2014;Ensino Fundamental 4º Ano;20936;
2014;Ensino Fundamental 5º Ano;1032;
2014;Ensino Fundamental 6º Ano;-39659;
2014;Ensino Fundamental 7º Ano;22903;
2014;Ensino Fundamental 8º Ano;38684;
2014;Ensino Fundamental 9º Ano;31632;
2014;Ensino Médio - 1ª Série;-15804;
2014;Ensino Médio - 2ª Série;112723;
2014;Ensino Médio - 3ª Série;52642;
