category	measure						
Scientific development	  252681.08 						
Basic education	  15167444.25 						
Adult education	  320646.50 						
Special education	  1659272.24 						
Child education	  2512918.02 						
Elementary school	  998876.34 						
High school	  480000.00 						
Professionalizing education	  116479319.92 						
College education	  7200807.06 						
Human resource development	  7646479.56 						
Information technology	  1460528.00 						
Funds transfer for basic education	  215980081.29 						
